editor,platform,project,relative_file,language,event_time
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706318160000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706318820000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706318880000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706318940000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319000000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706319060000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706319120000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319180000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319240000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319300000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319360000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319480000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319540000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319600000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706319720000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706323080000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706323140000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706323320000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItem.tsx,typescriptreact,1706323380000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItem.tsx,typescriptreact,1706323440000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItem.tsx,typescriptreact,1706323500000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItem.tsx,typescriptreact,1706323560000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItem.tsx,typescriptreact,1706323620000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706323680000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706323740000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706323800000
VSCode,macOS Sonoma,pms-api,index.js,javascript,1706323860000
VSCode,macOS Sonoma,pms-api,index.js,javascript,1706324520000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706324580000
VSCode,macOS Sonoma,pms-api,index.js,javascript,1706324640000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706324700000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706324760000
VSCode,macOS Sonoma,pms-api,routes/notes/index.js,javascript,1706324820000
VSCode,macOS Sonoma,pms-api,routes/notes/index.js,javascript,1706324880000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/index.tsx,typescriptreact,1706325120000
VSCode,macOS Sonoma,personalManagementSystem,src/components/Sidebar/components/SidebarItems.tsx,typescriptreact,1706325180000
VSCode,macOS Sonoma,pms-api,routes/notes/index.js,javascript,1706325240000
VSCode,macOS Sonoma,pms-api,routes/notes/index.js,javascript,1706325300000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706325360000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706325420000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706325480000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706325540000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706325600000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706325660000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706325720000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706325780000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706325840000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706325900000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706325960000
VSCode,macOS Sonoma,pms-api,routes/notes/index.js,javascript,1706326020000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Resources/index.tsx,typescriptreact,1706326080000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Resources/index.tsx,typescriptreact,1706326140000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706326200000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706326260000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706326320000
VSCode,macOS Sonoma,personalManagementSystem,src/components/EmptyStateScreen.tsx,typescriptreact,1706326380000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706326440000
VSCode,macOS Sonoma,personalManagementSystem,src/components/EmptyStateScreen.tsx,typescriptreact,1706326500000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706326560000
VSCode,macOS Sonoma,personalManagementSystem,src/modules/Notes/Category.tsx,typescriptreact,1706326620000
